NAME,THEME,AFFILIATION,TITLE,website,Undergrad,PhD,Journals
Christina Tague,Hydrology,UC Santa Barbara,Professor  ,https://bren.ucsb.edu/people/christina-naomi-tague,"BEng, Systems Design Engineering, University of Waterloo, Canada","PhD, Geography, University of Toronto, Canada",Water Resources Research; Wiley Interdisciplinary Reviews: Water ; Hydrological Processes
Gabrielle Boisramé,Fire_hydrology,"Desert Research Institute, Las Vegas, Division of Hydrologic Sciences","Assistant Research Professor, Environmental Engineer",https://www.dri.edu/directory/gabrielle-boisrame/,"B.A., Applied Mathematics","University of California, Berkeley, CA. Ph.D., Civil & Environmental Engineering, Dec 2016",Water Resources Research; Advances in water resources
Tania Schoennagel,Fire,"Dept. of Geography and Institute of Arctic and Alpine
Research (INSTAAR), University of Colorado-Boulder",Research Scientist,https://connections.cu.edu/stories/five-questions-tania-schoennagel; https://conbio.org/mini-sites/smith-fellows/meet-the-fellows/2006-fellows/tania-schoennagel,"B.A., History, Dartmouth College, 1990","Ph.D., Botany and Zoology, University of Wisconsin, with Monica Turner",Proceedings of the National Academy of Sciences; Headwaters Economics
Ryan Peek,Hydrology_fish,UC Davis,Postdoc,http://ryanpeek.org/cv/,"University of California, Davis, B.S. Wildlife, Fish, & Conservation Biology","University of California, Davis (UC Davis),  Ecology",Molecular ecology
Amanda K. Hohner,Fire_hydrology,Civil and Environmental Engineering at Washington State University,Assistant Professor,https://wrc.wsu.edu/person/hohner-amanda/; https://www.linkedin.com/in/amanda-hohner-939a8a38/,"B.S. Civil Engineering, 2009, Washington State University","Ph.D. Environmental Engineering, 2016, University of Colorado, Boulder",Journal‐American Water Works Association; Accounts of chemical research
Dan Isaak,Fire_hydrology_fish,"USDA Forest Service, Rocky Mountain Research Station               ",Research Fish Biologist,https://www.fs.usda.gov/rmrs/people/disaak,"South Dakota State University, B.S. Wildlife and Fisheries Sciences 1991","University of Wyoming, Ph.D. Zoology and Physiology 2001",Journal of the American Water Resources Association; Bonneville Power Administration Technical Report
Charles H. Luce,Fire_hydrology_fish,"USDA Forest Service, Rocky Mountain Research Station               ",Research Hydrologist,https://www.fs.usda.gov/sites/default/files/legacy_files/media/types/publication/field_pdf/DROUGHT_book-web-2-8-16.pdf,"University of Washington, B.S. Forest Management 1986","Utah State University, Ph.D. Civil Engineering 2000",JAWRA Journal of the American Water Resources Association; Transactions of the American Fisheries Society 
Alexandra D. Syphard,Fire,Vertus Wildfire,Chief Scientist,https://www.linkedin.com/in/alexandradsyphard/,University of Mary Washington English / communications,"San Diego State University and University of California, Santa Barbara",International Journal of Wildland Fire; Fire Ecology; Global Environmental Change
Brian A. Ebel,Fire_hydrology,USGS,Research Hydrologist,https://scholar.google.com/citations?hl=en&user=nkSdY8gAAAAJ&view_op=list_works&sortby=pubdate,B.A. in Earth and Planetary Science from Washington University in St. Louis,Ph.D. in Hydrogeology from Stanford University and a ,Hydrological Processes; Water Resources Research
Todd Hutchinson,Fire,USDA NRS,Research Ecologist,https://www.nrs.fs.fed.us/people/thutchinson,"University of Louisville, B.A. Biology,","Ohio State University, Ph.D. Ecology",Fire Ecology; Forest Ecology and Management 
Brian J. Harvey,Fire,University of Washington,Assistant Professor,https://environment.uw.edu/faculty/brian-harvey/,"B.A., Geography and Environmental Studies, University of California, Santa Barbara","Ph.D., Ecology (Dept. of Zoology), University of Wisconsin, Madison",Ecosphere; Landscape Ecology 
Dennis W. Hallema,Fire_hydrology,North Carolina State University,Research Assistant Professor,https://www.fs.fed.us/research/people/profile.php?alias=dhallema; https://www.linkedin.com/in/dennishallema/,Utrecht UniversityDegree NameBachelor's degreeField Of StudyEarth Sciences,continental hydrology from Montpellier SupAgro ,Ecological Processes; Earth's Future
Brian Buma,Fire,DEPARTMENT OF INTEGRATIVE BIOLOGY,Assistant Professor,https://scholar.google.com/citations?hl=en&user=qeTvs9cAAAAJ&view_op=list_works&sortby=pubdate,"Western Washington University - B.S. (2003) Biology, minor i Chemistry","University of Colorado, Boulder - Ph.D (2013) Dept. of Ecology & Evolutionary Biology",Ecography; Journal of Applied Ecology
Jennifer Balch,Fire,"University of Colorado Boulder, Director, Earth Lab • Fellow of CIRES  ",Associate Professor,https://www.colorado.edu/geography/jennifer-balch-0,"Princeton University Ecology & Evolutionary Biology and Certificate in Latin American Studies, A.B. with Honors 1999 ",Yale University School of Forestry & Environmental Studies,"Earth's Future; Global Ecology and Biogeography, Fire, Environmental Research Letters"
Ben Mirus,Fire_hydrology,USGS,Research Geologist,https://orcid.org/0000-0001-5550-014X,Pomona College,Stanford University | PhD/Hydrogeology,Association of Environmental and Engineering Geologists; Geophysical Research Letters; Water
Kathleen Donohue,Fish,Duke University ,Professor of Biology,https://web.uri.edu/gso/meet/kathleen-donohue/,Stanford University,The University of Chicago,Annual Plant Reviews; Trends in Ecology & Evolution
Matthew R. Fuller,Hydrology_fish,Oak Ridge Institute for Science and Education,Postdoc,https://loop.frontiersin.org/people/695231/overview,Cornell University B.S. 2006Biology - Ecology and Evolution,Duke University,Annals of the New York Academy of Sciences; Conservation Genetics
Jordan S Read,Hydrology_fish,USGS’s Data Science Branch in the Water Resources Mission Area,chief,https://www.usgs.gov/staff-profiles/jordan-s-read?qt-staff_profile_science_products=0#qt-staff_profile_science_productshttps://www.usgs.gov/staff-profiles/jordan-s-read?qt-staff_profile_science_products=0#qt-staff_profile_science_products,"B.S.: Civil Engineering, University of Wisconsin-Madison, 2007",PhD from the University of Wisconsin-Madison in 2012 in environmental fluid mechanics.,American Fisheries Society & The Wildlife Society; Water Resources Research 